	#	FORM	LEMMA	GRAM	COMMENT	CHECKED	RIGHT1	RIGHT2	RIGHT3	RIGHT4	RIGHT5	RIGHT6	POS	AUTO_LEMMA	AUTO_GRAM	
34388	44	>	>	PUNC									PUNC	>	PUNC	
34389	45	:	:	PUNC									PUNC	:	PUNC	
34390	46	Ђ	Ђ	PUNC									PUNC	Ђ	PUNC	7
34391	47	ƒевочки	ƒ≈¬ќ„ ј	S f anim nom pl			и	к	ч	о	в	е	S	ƒ≈¬ќ„ ј	S f anim nom sg	
34392	48	,	,	PUNC									PUNC	,	PUNC	
34393	49	скатерть	— ј“≈–“№	S f inan nom sg			ь	т	р	е	т	а	S	— ј“≈–“№	S f inan nom sg	27
34394	50	на	Ќј	PR			а	н					PR	Ќј	PR	
34395	51	столе	—“ќЋ	S m inan loc sg			е	л	о	т	с		S	—“ќЋ	S m inan loc sg	
34396	52	может	ћќ„№	V ipf praes sg indic - 3p			т	е	ж	о	м		V	ћќ„№	V ipf praes sg indic - 3p	
34397	53	быть	Ѕџ“№	V ipf - - inf - -			ь	т	ы	б			V	Ѕџ“№	V ipf - - inf - -	
34398	54	только	“ќЋ№ ќ	PART			о	к	ь	л	о	т	PART	“ќЋ№ ќ	PART	
34399	55	одного	ќƒ»Ќ	ANUM - gen sg plen m -			о	г	о	н	д	о	A	ќƒ»Ќ	A - gen sg plen m -	
34400	56	цвета	÷¬≈“	S m inan gen sg			а	т	е	в	ц		S	÷¬≈“	S m inan gen sg	
34401	57	Ц	Ц	PUNC									PUNC	Ц	PUNC	
34402	58	бела€	Ѕ≈Ћџ…	A - nom sg plen f -			€	а	л	е	б		A	Ѕ≈Ћџ…	A - nom sg plen f -	
34403	59	.	.	SENT									SENT	.	SENT	
34404																
34405	1	Ќикаких	Ќ» ј ќ…	A - gen pl plen - -			х	и	к	а	к	и	A	Ќ» ј ќ…	A - gen pl plen - -	
34406	2	других	ƒ–”√ќ…	A - gen pl plen - -			х	и	г	у	р	д	A	ƒ–”√ќ…	A - gen pl plen - -	
34407	3	<	<	PUNC									PUNC	<	PUNC	
34408	4	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34409	5	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
34410	6	=	=	PUNC									PUNC	=	PUNC	
34411	7			_											_	
34412	8	вр€нтов	¬ј–»јЌ“	S m inan gen pl	distort		в	о	т	н	€	р	S	¬–яЌ“	S m inan gen pl	
34413	9			_											_	
34414	10	>	>	PUNC									PUNC	>	PUNC	
34415	11	вариантов	¬ј–»јЌ“	S m inan gen pl			в	о	т	н	а	и	S	¬ј–»јЌ“	S m inan gen pl	
34416	12	<	<	PUNC									PUNC	<	PUNC	
34417	13	/	/	PUNC									PUNC	/	PUNC	
34418	14	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	6
34419	15	>	>	PUNC									PUNC	>	PUNC	
34420	16	быть	Ѕџ“№	V ipf - - inf - -			ь	т	ы	б			V	Ѕџ“№	V ipf - - inf - -	
34421	17	не	Ќ≈	PART			е	н					PART	Ќ≈	PART	
34422	18	может	ћќ„№	V ipf praes sg indic - 3p			т	е	ж	о	м		V	ћќ„№	V ipf praes sg indic - 3p	
34423	19	ї	ї	PUNC									PUNC	ї	PUNC	
34424	20	.	.	SENT									SENT	.	SENT	
34425																
34426	1	»менно	»ћ≈ЌЌќ	PART			о	н	н	е	м	и	PART	»ћ≈ЌЌќ	PART	
34427	2	Е	Е	PUNC									PUNC	Е	PUNC	
34428	3	и	»	CONJ			и						CONJ	»	CONJ	106
34429	4	в	¬	PR			в						PR	¬	PR	
34430	5	речи	–≈„№	S f inan loc sg			и	ч	е	р			S	–≈„№	S f inan gen sg	
34431	6	:	:	PUNC									PUNC	:	PUNC	
34432	7	э	Ё	INTJ			э						INTJ	Ё	INTJ	
34433	8	,	,	PUNC									PUNC	,	PUNC	
34434	9	речь	–≈„№	S f inan nom sg			ь	ч	е	р			S	–≈„№	S f inan nom sg	
34435	10	может	ћќ„№	V ipf praes sg indic - 3p			т	е	ж	о	м		V	ћќ„№	V ipf praes sg indic - 3p	
34436	11	быть	Ѕџ“№	V ipf - - inf - -			ь	т	ы	б			V	Ѕџ“№	V ipf - - inf - -	
34437	12	только	“ќЋ№ ќ	PART			о	к	ь	л	о	т	PART	“ќЋ№ ќ	PART	
34438	13	правильной	ѕ–ј¬»Ћ№Ќџ…	A - ins sg plen f -			й	о	н	ь	л	и	A	ѕ–ј¬»Ћ№Ќџ…	A - ins sg plen f -	
34439	14	.	.	SENT									SENT	.	SENT	
34440																
34441	1	Ќеважно	Ќ≈¬ј∆Ќќ	ADV -			о	н	ж	а	в	е	ADV	Ќ≈¬ј∆Ќќ	ADV -	
34442	2	,	,	PUNC									PUNC	,	PUNC	
34443	3	разговариваешь	–ј«√ќ¬ј–»¬ј“№	V ipf praes sg indic act 2p			ь	ш	е	а	в	и	V	–ј«√ќ¬ј–»¬ј“№	V ipf praes sg indic - 2p	
34444	4	ли	Ћ»	PART			и	л					PART	Ћ»	PART	
34445	5	ты	“џ	SPRO sg 2p - nom			ы	т					SPRO	“џ	SPRO sg 2p - nom	
34446	6	с	—	PR			с						PR	—	PR	10
34447	7	друзь€ми	ƒ–”√	S m anim ins pl			и	м	€	ь	з	у	S	ƒ–”√	S m anim ins pl	
34448	8	на	Ќј	PR			а	н					PR	Ќј	PR	
34449	9	улице	”Ћ»÷ј	S f inan loc sg			е	ц	и	л	у		S	”Ћ»÷ј	S f inan loc sg	
34450	10	,	,	PUNC									PUNC	,	PUNC	
34451	11	разговариваешь	–ј«√ќ¬ј–»¬ј“№	V ipf praes sg indic act 2p			ь	ш	е	а	в	и	V	–ј«√ќ¬ј–»¬ј“№	V ipf praes sg indic - 2p	26
34452	12	ли	Ћ»	PART			и	л					PART	Ћ»	PART	
34453	13	ты	“џ	SPRO sg 2p - nom			ы	т					SPRO	“џ	SPRO sg 2p - nom	
34454	14	,	,	PUNC									PUNC	,	PUNC	
34455	15	ээ	Ё	INTJ			э	э					NONLEX	ЁЁ	NONLEX	
34456	16	,	,	PUNC									PUNC	,	PUNC	
34457	17	в	¬	PR			в						PR	¬	PR	
34458	18	школе	Ў ќЋј	S f inan loc sg			е	л	о	к	ш		S	Ў ќЋј	S f inan loc sg	
34459	19	,	,	PUNC									PUNC	,	PUNC	
34460	20	говоришь	√ќ¬ќ–»“№	V ipf praes sg indic - 2p			ь	ш	и	р	о	в	V	√ќ¬ќ–»“№	V ipf praes sg indic - 2p	
34461	21	ли	Ћ»	PART			и	л					PART	Ћ»	PART	
34462	22	ты	“џ	SPRO sg 2p - nom			ы	т					SPRO	“џ	SPRO sg 2p - nom	
34463	23	,	,	PUNC									PUNC	,	PUNC	
34464	24	э...	Ё	INTJ						э			S	Ё...	S - - nonflex nonflex	
34465	25	о	ќ	PR			о						PR	ќ	PR	
34466	26	чем-то	„“ќ-“ќ	SPRO n - ins sg			о	т		м	е	ч	S	„“ќ-“ќ	S n - ins sg	30
34467	27	с	—	PR			с						PR	—	PR	
34468	28	людьми	„≈Ћќ¬≈ 	S m anim ins pl			и	м	ь	д	ю	л	S	„≈Ћќ¬≈ 	S m anim ins pl	
34469	29	в	¬	PR			в						PR	¬	PR	
34470	30	транспорте	“–јЌ—ѕќ–“	S m inan loc sg			е	т	р	о	п	с	S	“–јЌ—ѕќ–“	S m inan loc sg	
34471	31	или	»Ћ»	CONJ			и	л	и				CONJ	»Ћ»	CONJ	
34472	32	где-то	√ƒ≈-“ќ	ADV -			о	т		е	д	г	ADV	√ƒ≈-“ќ	ADV -	
34473	33	еще	≈ў≈	ADV -			е	щ	е				ADV	≈ў≈	ADV -	
34474	34	,	,	PUNC									PUNC	,	PUNC	
34475	35	речь	–≈„№	S f inan nom sg			ь	ч	е	р			S	–≈„№	S f inan nom sg	7
34476	36	может	ћќ„№	V ipf praes sg indic - 3p			т	е	ж	о	м		V	ћќ„№	V ipf praes sg indic - 3p	
34477	37	быть	Ѕџ“№	V ipf - - inf - -			ь	т	ы	б			V	Ѕџ“№	V ipf - - inf - -	
34478	38	только	“ќЋ№ ќ	PART			о	к	ь	л	о	т	PART	“ќЋ№ ќ	PART	
34479	39	одной	ќƒ»Ќ	ANUM - gen sg plen f -			й	о	н	д	о		A	ќƒ»Ќ	A - gen sg plen f -	
34480	40	Ц	Ц	PUNC									PUNC	Ц	PUNC	
34481	41	правильной	ѕ–ј¬»Ћ№Ќџ…	A - ins sg plen f -			й	о	н	ь	л	и	A	ѕ–ј¬»Ћ№Ќџ…	A - ins sg plen f -	
34482	42	русской	–”—— »…	A - ins sg plen f -			й	о	к	с	с	у	A	–”—— »…	A - ins sg plen f -	
34483	43	речью	–≈„№	S f inan ins sg			ю	ь	ч	е	р		S	–≈„№	S f inan ins sg	
34484	44	.	.	SENT									SENT	.	SENT	
